beta,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),3131,0,,1.0,,0.968329022222023,0.2537027681016832,0.7377834557649313,0.2618971574576813,0.0,0.0,0.00031938677738741617
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),3131,0,,1.0,,0.9675041579435775,0.23540830164597015,0.8093260938997126,0.19035451932290004,0.0,0.0,0.00031938677738741617
4.0,ARP_Spoofing,vae_p90,VAE-only baseline (p90),1744,316,0.27531645569620256,0.8686926605504587,0.31962025316455694,0.9642652207632685,0.17874331906294041,0.44954128440366975,0.04988532110091743,0.36926605504587157,0.1313073394495413,0.0
4.0,ARP_Spoofing,vae_p95,VAE-only baseline (p95),1744,316,0.1360759493670886,0.8434633027522935,0.31962025316455694,0.9618612345169837,0.1252426409976866,0.16227064220183487,0.024655963302752295,0.6565366972477065,0.1565366972477064,0.0
4.0,ARP_Spoofing,vae_p99,VAE-only baseline (p99),1744,316,0.04113924050632911,0.8262614678899083,0.31962025316455694,0.957650616182582,0.029010556545324008,0.010894495412844037,0.007454128440366973,0.8079128440366973,0.17373853211009174,0.0
4.0,ARP_Spoofing,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,1744,316,0.819620253164557,0.9673165137614679,0.31962025316455694,0.9673069077900361,0.23176536283138777,0.27924311926605505,0.22018348623853212,0.12557339449541285,0.03268348623853211,0.3423165137614679
4.0,ARP_Spoofing,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,1744,316,0.7120253164556962,0.9478211009174312,0.31962025316455694,0.9664181613595915,0.21402930305528226,0.338302752293578,0.16112385321100917,0.17144495412844038,0.05217889908256881,0.2769495412844037
4.0,ARP_Spoofing,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,1744,316,0.680379746835443,0.9420871559633027,0.31962025316455694,0.9642708244608122,0.16467678889568432,0.12098623853211009,0.06594036697247706,0.38876146788990823,0.05791284403669725,0.3663990825688073
4.0,ARP_Spoofing,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,1744,316,0.7879746835443038,0.9615825688073395,0.31962025316455694,0.9652738863211502,0.18488579253862314,0.09747706422018348,0.08944954128440367,0.3073394495412844,0.03841743119266055,0.4673165137614679
4.0,ARP_Spoofing,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),1744,316,0.7120253164556962,0.9478211009174312,0.31962025316455694,0.9664181613595915,0.21402930305528226,0.338302752293578,0.16112385321100917,0.17144495412844038,0.05217889908256881,0.2769495412844037
4.0,ARP_Spoofing,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),1744,316,0.8259493670886076,0.9684633027522935,0.31962025316455694,0.9671096576364948,0.226659930332119,0.2918577981651376,0.26089449541284404,0.11295871559633028,0.03153669724770642,0.30275229357798167
4.0,ARP_Spoofing,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),1744,316,0.7278481012658228,0.9506880733944955,0.31962025316455694,0.9662197904665415,0.20873773499614434,0.36009174311926606,0.1926605504587156,0.1496559633027523,0.04931192660550459,0.24827981651376146
